Imageid,Question,Answer
1,is this a car,yes
2,is this a car,yes
3,is this a car,yes
4,is this a car,yes
5,is this a car,yes
6,is this a car,yes
7,is this a car,yes
8,is this a car,yes
9,is this a car,yes
10,is this a car,yes
11,is this a car,yes
12,is this a car,yes
13,is this a car,yes
14,is this a car,yes
15,is this a car,yes
16,is this a car,yes
17,is this a car,yes
18,is this a car,yes
19,is this a car,yes
20,is this a car,yes
21,is this a car,yes
22,is this a car,yes
23,is this a car,yes
24,is this a car,yes
25,is this a car,yes
26,is this a car,yes
27,is this a car,yes
28,is this a car,yes
29,is this a car,yes
30,is this a car,yes
31,is this a car,yes
32,is this a car,yes
33,is this a car,yes
34,is this a car,yes
35,is this a car,yes
36,is this a car,yes
37,is this a car,yes
38,is this a car,yes
39,is this a car,yes
40,is this a car,yes
41,is this a car,yes
42,is this a car,yes
43,is this a car,yes
44,is this a car,yes
45,is this a car,yes
46,is this a car,yes
47,is this a car,yes
48,is this a car,yes
49,is this a car,yes
50,is this a car,yes
51,is this a car,yes
52,is this a car,yes
53,is this a car,yes
54,is this a car,yes
55,is this a car,yes
56,is this a car,yes
57,is this a car,yes
58,is this a car,yes
59,is this a car,yes
60,is this a car,yes
61,is this a car,yes
62,is this a car,yes
63,is this a car,yes
64,is this a car,yes
65,is this a car,yes
66,is this a car,yes
67,is this a car,yes
68,is this a car,yes
69,is this a car,yes
70,is this a car,yes
71,is this a car,yes
72,is this a car,yes
73,is this a car,yes
74,is this a car,yes
75,is this a car,yes
76,is this a car,yes
77,is this a car,yes
78,is this a car,yes
79,is this a car,yes
80,is this a car,yes
81,is this a car,yes
82,is this a car,yes
83,is this a car,yes
84,is this a car,yes
85,is this a car,yes
86,is this a car,yes
87,is this a car,yes
88,is this a car,yes
89,is this a car,yes
90,is this a car,yes
91,is this a car,yes
92,is this a car,yes
93,is this a car,yes
94,is this a car,yes
95,is this a car,yes
96,is this a car,yes
97,is this a car,yes
98,is this a car,yes
99,is this a car,yes
100,is this a car,yes
101,is this a car,yes
102,is this a car,yes
103,is this a car,yes
104,is this a car,yes
105,is this a car,yes
106,is this a car,yes
107,is this a car,yes
108,is this a car,yes
109,is this a car,yes
110,is this a car,yes
111,is this a car,yes
112,is this a car,yes
113,is this a car,yes
114,is this a car,yes
115,is this a car,yes
116,is this a car,yes
117,is this a car,yes
118,is this a car,yes
119,is this a car,yes
120,is this a car,yes
121,is this a car,yes
122,is this a car,yes
123,is this a car,yes
124,is this a car,yes
125,is this a car,yes
126,is this a car,yes
127,is this a car,yes
128,is this a car,yes
129,is this a car,yes
130,is this a car,yes
131,is this a car,yes
132,is this a car,yes
133,is this a car,yes
134,is this a car,yes
135,is this a car,yes
136,is this a car,yes
137,is this a car,yes
138,is this a car,yes
139,is this a car,yes
140,is this a car,yes
141,is this a car,yes
142,is this a car,yes
143,is this a car,yes
144,is this a car,yes
145,is this a car,yes
146,is this a car,yes
147,is this a car,yes
148,is this a car,yes
149,is this a car,yes
150,is this a car,yes
151,is this a car,yes
152,is this a car,yes
153,is this a car,yes
154,is this a car,yes
155,is this a car,yes
156,is this a car,yes
157,is this a car,yes
158,is this a car,yes
159,is this a car,yes
160,is this a car,yes
161,is this a car,yes
162,is this a car,yes
163,is this a car,yes
164,is this a car,yes
165,is this a car,yes
166,is this a car,yes
167,is this a car,yes
168,is this a car,yes
169,is this a car,yes
170,is this a car,yes
171,is this a car,yes
172,is this a car,yes
173,is this a car,yes
174,is this a car,yes
175,is this a car,yes
176,is this a car,yes
177,is this a car,yes
178,is this a car,yes
179,is this a car,yes
180,is this a car,yes
181,is this a car,yes
182,is this a car,yes
183,is this a car,yes
184,is this a car,yes
185,is this a car,yes
186,is this a car,yes
187,is this a car,yes
188,is this a car,yes
189,is this a car,yes
190,is this a car,yes
191,is this a car,yes
192,is this a car,yes
193,is this a car,yes
194,is this a car,yes
195,is this a car,yes
196,is this a car,yes
197,is this a car,yes
198,is this a car,yes
199,is this a car,yes
200,is this a car,yes
201,is this a car,yes
202,is this a car,yes
203,is this a car,yes
204,is this a car,yes
205,is this a car,yes
206,is this a car,yes
207,is this a car,yes
208,is this a car,yes
209,is this a car,yes
210,is this a car,yes
211,is this a car,yes
212,is this a car,yes
213,is this a car,yes
214,is this a car,yes
215,is this a car,yes
216,is this a car,yes
217,is this a car,yes
218,is this a car,yes
219,is this a car,yes
220,is this a car,yes
221,is this a car,yes
222,is this a car,yes
223,is this a car,yes
224,is this a car,yes
225,is this a car,yes
226,is this a car,yes
227,is this a car,yes
228,is this a car,yes
229,is this a car,yes
230,is this a car,yes
231,is this a car,yes
232,is this a car,yes
233,is this a car,yes
234,is this a car,yes
235,is this a car,yes
236,is this a car,yes
237,is this a car,yes
